environment_step,huber_loss
8.490000000000000000e+02,2.007425064221024513e-03
8.530000000000000000e+02,1.593071152456104755e-03
8.570000000000000000e+02,1.753087039105594158e-03
8.610000000000000000e+02,1.856243121437728405e-03
8.650000000000000000e+02,3.089929930865764618e-03
8.690000000000000000e+02,9.323346614837646484e-01
8.730000000000000000e+02,2.558659762144088745e-03
8.770000000000000000e+02,3.396389074623584747e-03
8.810000000000000000e+02,2.297522034496068954e-03
8.850000000000000000e+02,2.965957857668399811e-03
8.890000000000000000e+02,3.696996485814452171e-03
8.930000000000000000e+02,4.774212837219238281e-03
8.970000000000000000e+02,4.418866708874702454e-03
9.010000000000000000e+02,4.885816946625709534e-03
9.050000000000000000e+02,5.078840535134077072e-03
9.090000000000000000e+02,6.142363883554935455e-03
9.130000000000000000e+02,6.109342910349369049e-03
9.170000000000000000e+02,5.300351884216070175e-03
9.210000000000000000e+02,5.748425610363483429e-03
9.250000000000000000e+02,4.918674007058143616e-03
9.290000000000000000e+02,4.727906547486782074e-03
9.330000000000000000e+02,4.279403015971183777e-03
9.370000000000000000e+02,4.542527720332145691e-03
9.410000000000000000e+02,3.540765028446912766e-03
9.450000000000000000e+02,9.343361854553222656e-01
9.490000000000000000e+02,4.395647905766963959e-03
9.530000000000000000e+02,3.438368206843733788e-03
9.570000000000000000e+02,3.749618073925375938e-03
9.610000000000000000e+02,9.346373081207275391e-01
9.650000000000000000e+02,3.574230242520570755e-03
9.690000000000000000e+02,1.787689048796892166e-03
9.730000000000000000e+02,2.823473187163472176e-03
9.770000000000000000e+02,3.191108815371990204e-03
9.810000000000000000e+02,2.638753503561019897e-03
9.850000000000000000e+02,2.177415415644645691e-03
9.890000000000000000e+02,9.331043362617492676e-01
9.930000000000000000e+02,2.887803595513105392e-03
9.970000000000000000e+02,9.309861660003662109e-01
1.001000000000000000e+03,9.325536489486694336e-01
1.005000000000000000e+03,1.063589821569621563e-03
1.009000000000000000e+03,1.199699472635984421e-03
1.013000000000000000e+03,1.374650746583938599e-03
1.017000000000000000e+03,1.019906019791960716e-03
1.021000000000000000e+03,1.015677349641919136e-03
1.025000000000000000e+03,7.605815771967172623e-04
1.029000000000000000e+03,8.842237293720245361e-04
1.033000000000000000e+03,5.612195818684995174e-04
1.037000000000000000e+03,9.899069555103778839e-04
1.041000000000000000e+03,8.594272658228874207e-04
1.045000000000000000e+03,7.342528551816940308e-04
1.049000000000000000e+03,5.299162003211677074e-04
1.053000000000000000e+03,4.733411478810012341e-04
1.057000000000000000e+03,4.398614109959453344e-04
1.061000000000000000e+03,5.633587716147303581e-04
1.065000000000000000e+03,4.280048306100070477e-04
1.069000000000000000e+03,5.532866925932466984e-04
1.073000000000000000e+03,5.704267532564699650e-04
1.077000000000000000e+03,4.711202927865087986e-04
1.081000000000000000e+03,5.995580577291548252e-04
1.085000000000000000e+03,3.928882360924035311e-04
1.089000000000000000e+03,5.442266119644045830e-04
1.093000000000000000e+03,5.648462683893740177e-04
1.097000000000000000e+03,4.437129246070981026e-04
1.101000000000000000e+03,5.394981708377599716e-04
1.105000000000000000e+03,5.024415440857410431e-04
1.109000000000000000e+03,9.303968548774719238e-01
1.113000000000000000e+03,9.303805232048034668e-01
1.117000000000000000e+03,4.900106578134000301e-04
1.121000000000000000e+03,2.451410982757806778e-04
1.125000000000000000e+03,5.766060785390436649e-04
1.129000000000000000e+03,4.176182847004383802e-04
1.133000000000000000e+03,3.290069871582090855e-04
1.137000000000000000e+03,2.958242257591336966e-04
1.141000000000000000e+03,3.503239713609218597e-04
1.145000000000000000e+03,2.686554507818073034e-04
1.149000000000000000e+03,3.691672463901340961e-04
1.153000000000000000e+03,3.517780860420316458e-04
1.157000000000000000e+03,2.960765559691935778e-04
1.161000000000000000e+03,3.117389278486371040e-04
1.165000000000000000e+03,3.077860164921730757e-04
1.169000000000000000e+03,2.778251655399799347e-04
1.173000000000000000e+03,2.075679221889004111e-04
1.177000000000000000e+03,2.751403371803462505e-04
1.181000000000000000e+03,9.314215779304504395e-01
1.185000000000000000e+03,2.433752815704792738e-04
1.189000000000000000e+03,2.969646011479198933e-04
1.193000000000000000e+03,3.499638987705111504e-04
1.197000000000000000e+03,2.289788972120732069e-04
